Artist Name,Track Name,Popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_in min/ms,time_signature
David Bowie,Space Oddity - 2015 Remaster,73,0.31,0.403,1,-13.664,1,0.0326,0.0726,9.27E-05,0.139,0.466,134.48,318027,4
Crimson Sun,Essence of Creation,34,0.511,0.955,7,-5.059,1,0.129,0.0004,8.70E-06,0.263,0.291,151.937,220413,4
P!nk,Raise Your Glass,78,0.7,0.709,1,-5.006,1,0.0839,0.0048,1.80E-05,0.0289,0.625,122.019,202960,4
Shawn Mendes,Wonder,80,0.333,0.637,11,-4.904,0,0.0581,0.131,0.768,0.149,0.132,139.898,172693,4
Backstreet Boys,Helpless When She Smiles - Radio Version,48,0.393,0.849,11,-4.114,1,0.0459,0.00421,4.39E-05,0.162,0.222,74.028,4.093116667,4
Paul McCartney,Pretty Boys (feat. Khruangbin),56,0.696,0.979,7,-5.338,0,0.0445,0.00244,1.91E-05,0.116,0.962,101.021,348859,4
The Flaming Lips,She Don't Use Jelly,60,0.33,0.556,10,-11.494,1,0.0796,0.207,1.02E-05,0.315,0.506,173.828,222279,4
The Vanities,Wasted All My Days,23,0.43,0.942,7,-3.008,1,0.0913,0.000166,0.00904,0.103,0.557,91.483,140400,4
pizzagirl,car freshener aftershave,36,0.603,0.724,7,-6.843,1,0.0265,0.00135,0.0501,0.184,0.387,129.984,243868,4
Dudu Tassa,◊ë◊õ◊ô◊†◊ï ◊ò◊¢◊ô◊†◊ï,20,0.403,0.742,2,-7.38,0,0.0604,0.218,5.82E-06,0.0606,0.617,167.898,239987,4
Jane's Addiction,Been Caught Stealing,57,0.639,0.929,9,-4.762,1,0.212,0.00326,0.0433,0.242,0.688,103.758,214707,4
The M√∂nic,Just Mad,29,0.324,0.798,1,-8.417,1,0.031,0.0518,1.92E-05,0.256,0.534,168.132,172217,4
The Shins,Phantom Limb,57,0.515,0.848,7,-4.835,1,0.0375,0.000486,3.06E-06,0.0946,0.475,119.84,287567,4
Nyck Caution,Bad Day (feat. Denzel Curry),49,0.749,0.783,8,-3.965,1,0.3,0.142,0.555,0.237,0.73,140.012,154947,4
Foo Fighters,Shame Shame,62,0.652,0.864,4,-4.108,1,0.0325,0.00138,3.91E-06,0.0371,0.38,122.026,257427,4
FEVER 333,BITE BACK,50,0.545,0.998,7,-3.645,1,0.234,0.0192,2.13E-05,0.877,0.142,129.992,190657,4
Tora Tora,Blue Tommorrow,20,0.626,0.609,2,-12.226,0,0.0371,0.00803,0.4,0.108,0.346,123.681,260120,4
Fenix TX,Phoebe Cates,36,0.234,0.978,9,-3.724,1,0.269,7.80E-05,0.0904,0.361,0.305,190.446,220267,4
For Tracy Hyde,Just Like Fireflies,30,0.342,0.875,11,-3.623,1,0.0789,0.000112,0.0151,0.103,0.46,149.139,160262,4
"StarBoi3, Doja Cat",Dick (feat. Doja Cat),84,0.647,0.608,1,-6.831,1,0.42,0.13,0.0935,0.0584,0.474,125.994,2.920633333,4
Backstreet Boys,You Can Let Go,31,0.521,0.72,9,-3.418,1,0.0301,0.0617,2.15E-05,0.154,0.454,73.002,3.548883333,4
KennyHoopla,how will i rest in peace if i'm buried by a highway?//,63,0.479,0.844,10,-4.338,0,0.0819,0.0134,0.000173,0.195,0.49,159.852,218533,4
Oxbow,Untitled,12,0.408,0.56,7,-6.451,0,0.164,0.173,0.561,0.129,0.394,131.507,370133,3
Mito,Replace,28,0.661,0.437,2,-9.972,1,0.041,0.331,0.00106,0.134,0.346,84.006,139500,4
Arlo Parks,Caroline,60,0.596,0.576,1,-7.955,1,0.0388,0.376,0.000818,0.107,0.485,160.176,216933,4
Dead Quiet,Of Sound and Fury,24,0.262,0.925,9,-7.136,1,0.0721,0.00305,4.27E-06,0.075,0.374,84.963,365684,4
Santana,"Evil Ways - Live at The Woodstock Music & Art Fair, August 16, 1969",32,0.587,0.672,2,-11.698,1,0.0445,0.0226,0.0035,0.503,0.913,127.48,240640,4
Lata Mangeshkar,Panchhi Banoon Udti Phiroon,11,0.359,0.61,7,-8.359,1,0.0692,0.799,0.0011,0.491,0.91,171.854,4.551783333,3
Nirvana,Smells Like Teen Spirit,82,0.502,0.912,8,-4.556,1,0.0564,2.55E-05,0.00665,0.106,0.72,116.761,301920,4
Death Valley Girls,Street Justice,25,0.324,0.948,3,-4.609,1,0.0522,8.85E-06,0.102,0.165,0.342,90.542,160587,4
Foghat,Slow Ride,67,0.493,0.586,5,-13.916,1,0.046,0.0202,0.839,0.102,0.656,113.618,232533,4
Magnus Karlsson‚Äôs Free Fall,Temples And Towers,28,0.273,0.955,9,-5.624,0,0.105,2.33E-05,3.10E-05,0.334,0.198,199.948,337147,4
Rick Estrin & The Nightcats,Callin' All Fools,13,0.692,0.623,7,-8.13,0,0.0361,0.15,0.126,0.316,0.601,114.627,313680,4
Céline Dion,I'm Alive - Live,32,0.608,0.773,7,-7.074,1,0.0792,0.126,4.60E-05,0.99,0.435,101.99,4.281116667,4
Taylor Swift,The Man,77,0.777,0.658,11,-5.191,1,0.054,0.0767,3.15E-06,0.0901,0.633,110.048,190360,4
Moshe Peretz,◊ê◊©,34,0.567,0.911,4,-4.913,0,0.038,0.0972,2.70E-05,0.0914,0.903,160.037,238333,4
"Invent, Animate",Cloud Cascade,41,0.486,0.961,5,-4.234,0,0.0831,0.00022,0.0265,0.0904,0.219,116.024,249078,4
Sl√∏tface,Tap the pack,23,0.401,0.822,9,-7.091,1,0.122,0.000147,2.56E-05,0.0713,0.674,174.966,146520,4
Eliad,◊ê◊†◊ô ◊¢◊£,21,0.698,0.39,2,-7.253,0,0.03,0.0278,4.69E-05,0.156,0.663,146.019,208015,4
Adrenaline Mob,Crystal Clear,36,0.509,0.935,9,-4.159,0,0.0434,0.0317,0.0166,0.101,0.627,171.967,303453,4
Tim Atlas,Compromised,47,0.957,0.425,9,-8.002,0,0.0538,0.164,1.37E-06,0.0656,0.961,108.971,226235,4
"Luther ""Snake Boy"" Johnson",They call me the snake,30,0.6,0.319,7,-12.587,1,0.143,0.739,0.355,0.289,0.41,137.954,337600,3
Trick or Treat,Hungarian Hangover,33,0.489,0.93,9,-4.834,1,0.11,0.00178,0.000146,0.338,0.401,95.083,232067,4
Bad Waitress,That Sedative,35,0.175,0.857,7,-4.325,0,0.0416,5.50E-06,0.000334,0.353,0.43,170.136,141404,4
Imagine Dragons,Next To Me,70,0.301,0.672,2,-4.497,1,0.0623,0.28,0.312,0.0609,0.384,169.497,230289,3
Bully,Where to Start,44,0.341,0.875,4,-4.581,1,0.0406,2.32E-05,6.12E-05,0.135,0.477,78.948,180601,4
The Doors,Roadhouse Blues,71,0.623,0.633,1,-8.212,1,0.0304,0.336,0.876,0.147,0.895,121.119,243827,4
Beach Bunny,Blame Game,56,0.364,0.719,2,-5.567,1,0.0439,0.0551,0.00328,0.0824,0.352,97.5,214924,4
Ron Gallo,"Young Lady, You're Scaring Me",59,0.371,0.921,7,-5.533,1,0.0784,0.0113,0.00838,0.43,0.508,109.675,220538,4
Light The Torch,Wilting in the Light,53,0.393,0.874,7,-5.566,1,0.0582,3.11E-05,0.017,0.12,0.378,155.013,228738,4
Korn,Rotting In Vain,49,0.498,0.946,3,-4.793,1,0.0602,0.000121,0.000381,0.359,0.31,106.275,213000,4
Suicidal Tendencies,You Can't Bring Me Down,55,0.281,0.958,2,-10.798,0,0.375,0.00195,0.00399,0.0915,0.0381,136.851,348093,4
Sirenia,Voyage Voyage,48,0.527,0.941,5,-5.224,1,0.0513,0.00102,0.000359,0.205,0.62,125.994,258564,4
The Police,Roxanne - Remastered 2003,4,0.615,0.752,9,-8.91,1,0.391,0.0397,0.627,0.0479,0.66,133.977,191507,4
U2,With Or Without You - Remastered,79,0.54,0.429,11,-11.822,1,0.0285,0.000202,0.0409,0.141,0.113,110.171,295516,4
Public Enemy,Rebel Without A Pause,50,0.755,0.692,1,-13.906,1,0.346,0.0127,0.742,0.69,0.651,99.771,302800,4
Yehudit Ravitz,◊™◊ê◊® ◊ú◊ö (◊ñ◊õ◊®◊ï◊†◊ï◊™ ◊ó◊û◊ô◊ù),23,0.644,0.575,5,-5.748,1,0.0295,0.702,0.0104,0.111,0.163,115.998,208800,4
Post-Party,Wasting Time,39,0.459,0.747,1,-5.439,1,0.0309,0.000956,0.158,0.104,0.673,89.974,167556,4
Thursday,Standing on the Edge of Summer,43,0.236,0.846,7,-4.534,1,0.0482,0.00011,0.916,0.0985,0.372,168.702,222040,4
Queen,Another One Bites The Dust - Remastered 2011,82,0.933,0.528,6,-6.472,0,0.161,0.112,0.91,0.163,0.754,109.967,214653,4
La Femme,Cool Colorado,54,0.505,0.762,5,-7.15,1,0.0454,0.0415,0.45,0.117,0.477,81.454,232480,4
Dry Cleaning,Strong Feelings,52,0.748,0.467,6,-9.253,0,0.0365,0.0208,0.188,0.0656,0.96,130.047,244533,4
Nessa Barrett,la di die (feat. jxdn),80,0.484,0.643,2,-4.72,1,0.0416,0.0036,0.000341,0.243,0.345,163.97,195191,4
Robben Ford,Cotton Candy,17,0.843,0.631,7,-6.176,0,0.0548,0.0401,0.00601,0.125,0.894,125.024,235392,4
Soulja Boy,She Make It Clap,74,0.941,0.471,11,-13.087,1,0.494,0.0308,3.86E-06,0.0837,0.487,119.898,111550,4
Jeff Jensen,Fall Apart,27,0.765,0.312,9,-9.578,1,0.0374,0.533,1.38E-05,0.12,0.277,121.957,267358,4
Britney Spears,Circus,75,0.791,0.733,7,-5.215,0,0.052,0.147,0.000275,0.0713,0.761,114.98,3.206,4
Skillet,Feel Invincible,73,0.603,0.886,1,-3.777,0,0.0837,0.00045,0.000309,0.26,0.395,126.025,229933,4
Dua Lipa,Fever,78,0.868,0.693,1,-7.052,0,0.181,0.0597,0.339,0.106,0.396,114.999,156911,4
The Beatles,I Am The Walrus - Remastered 2009,63,0.401,0.556,3,-10.532,1,0.0513,0.0828,0.0014,0.589,0.654,85.206,275867,4
Lola Flores,A Tu Vera,44,0.431,0.381,7,-9.818,1,0.0369,0.643,0.00151,0.124,0.57,113.331,208667,4
Unearth,Zombie Autopilot,41,0.258,0.918,2,-5.972,0,0.0701,8.20E-06,0.0144,0.413,0.253,93.727,249853,4
Yehudit Ravitz,Hakol Beseder - Omri Smadar Remix,35,0.679,0.948,5,-6.095,1,0.0432,0.0355,0.272,0.0719,0.906,122.988,261132,4
Castaways,"Liar, Liar",40,0.525,0.623,10,-6.253,0,0.0291,0.247,2.93E-06,0.148,0.839,144.583,115925,4
Jonas Brothers,Remember This,72,0.669,0.629,11,-5.018,0,0.0803,0.217,0.0607,0.366,0.294,110.865,2.97036667,4
Mr. Oizo,Gay Dentists,25,0.736,0.97,9,-4.955,1,0.128,0.000228,0.808,0.148,0.703,128.59,218493,4
Ravid Plotnik,◊û◊ú◊ö ◊î◊®◊ê◊§ ◊©◊ú ◊î◊û◊ñ◊®◊ó ◊î◊™◊ô◊õ◊ï◊ü (◊†◊¶'◊ô ◊†◊¶'),37,0.634,0.739,2,-6.08,1,0.433,0.141,0.0106,0.82,0.761,146.296,289213,4
Pageants,Cacti For Clothes,41,0.6,0.779,2,-8.143,1,0.0326,0.353,1.32E-05,0.104,0.595,119.053,182907,4
Celestial Teapot,Change Is Constant,16,0.381,0.404,6,-12.227,1,0.0324,0.314,4.12E-06,0.112,0.0739,108.029,404696,4
yes/and,Ugly Orange,16,0.556,0.234,8,-16.707,1,0.0457,0.982,4.24E-06,0.0844,0.395,108.8,259725,3
Eyal Golan,◊¢◊ï◊©◊î ◊¢◊ù ◊î◊¢◊ô◊†◊ô◊ô◊ù,36,0.648,0.444,5,-8.598,1,0.0373,0.738,1.77E-06,0.132,0.288,90.958,177033,4
Sam Ezeh,Sapphire Alley,47,0.675,0.622,9,-6.251,1,0.0234,0.247,0.238,0.107,0.662,108.002,202778,4
Albert Collins,T-Bone Shuffle,51,0.537,0.695,7,-9.88,1,0.0377,0.00393,0.817,0.084,0.77,131.307,295693,4
Popa Chubby,Sweet Goddess of Love and Beer,33,0.683,0.684,11,-7.296,1,0.0515,0.257,0.000769,0.135,0.854,110.426,279640,4
T. Rex,Cosmic Dancer,58,0.363,0.803,10,-8.089,1,0.06,0.0117,2.45E-06,0.189,0.718,156.047,266533,4
Miri Mesika,◊û◊ú◊ö,28,0.456,0.608,5,-5.562,1,0.0437,0.304,3.70E-06,0.0833,0.296,81.498,196663,4
Zuli Jr.,Two,33,0.643,0.467,2,-5.503,1,0.0332,0.248,1.25E-05,0.105,0.784,171.937,206693,3
Harish Sivaramakrishnan,Malhar Jam,32,0.448,0.686,11,-7.411,1,0.0406,0.146,6.47E-05,0.107,0.228,123.641,6.145783333,4
Talia Goddess,Never Wanna Fall,31,0.467,0.51,2,-10.471,1,0.103,0.16,0.873,0.136,0.557,100.832,281538,3
Sila Lua,La Mano,31,0.519,0.366,3,-14.319,1,0.0497,0.598,0.00318,0.117,0.372,79.789,191748,4
Marmozets,Play,39,0.38,0.982,2,-3.287,1,0.15,0.000266,0.001,0.366,0.168,161.095,204933,4
Lonnie Brooks,Greasy Man,20,0.723,0.354,6,-15.958,1,0.0382,0.55,0.0501,0.115,0.842,81.47,356773,4
Blu DeTiger,Toast with the Butter,48,0.652,0.702,2,-5.791,1,0.184,0.514,0.943,0.358,0.623,151.989,206147,4
Jon Batiste,CRY,52,0.738,0.507,2,-6.991,0,0.0272,0.229,0.0106,0.0724,0.7,80.015,237244,4
Aisha Badru,Mind on Fire,49,0.345,0.132,8,-13.633,1,0.052,0.865,3.69E-06,0.114,0.0414,208.648,194320,4
Bombino,Iyat Ninhay / Jaguar (A Great Desert I Saw),40,0.215,0.832,9,-6.76,0,0.0504,0.000958,0.0116,0.519,0.668,78.063,367185,4
The Avalanches,The Divine Chord,62,0.557,0.863,10,-5.321,0,0.0391,0.104,0.0002,0.697,0.373,105.362,187587,4
